time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-11-01 00:00:00,0.6,-0.5,92,0,,0,0,,1022.4,,1
2024-11-01 01:00:00,0.6,-0.5,92,0,,0,0,,1022.8,,1
2024-11-01 02:00:00,0,-1.1,92,0,,0,0,,1023,,2
2024-11-01 03:00:00,-0.6,-1.2,96,0,,0,0,,1023.4,,3
2024-11-01 04:00:00,-0.6,-1.7,92,0,,0,0,,1023.9,,3
2024-11-01 05:00:00,-1.1,-2.2,92,0,,0,0,,1024,,5
2024-11-01 06:00:00,-1.1,-2.8,88,0,,0,0,,1024.2,,5
2024-11-01 07:00:00,-1.7,-2.8,92,0,,0,0,,1024,,5
2024-11-01 08:00:00,-1.7,-2.8,92,0,,0,0,,1025.5,,5
2024-11-01 09:00:00,-0.6,-1.2,96,0,,130,5.4,,1026,,5
2024-11-01 10:00:00,2.8,1.6,92,0,,100,5.4,,1026.2,,1
2024-11-01 11:00:00,7.2,3.3,76,0,,150,13,,1026.1,,1
2024-11-01 12:00:00,9.4,3.8,68,0,,160,9.4,,1026.1,,1
2024-11-01 13:00:00,11.1,2.1,54,0,,140,16.6,,1025.4,,1
2024-11-01 14:00:00,12.8,2.9,51,0,,140,11.2,,1024.4,,1
2024-11-01 15:00:00,13.3,3.9,53,0,,160,18.4,,1023.5,,1
2024-11-01 16:00:00,13.9,4.5,53,0,,150,16.6,,1023,,1
2024-11-01 17:00:00,13.3,4.4,55,0,,140,20.5,,1023,,1
2024-11-01 18:00:00,11.7,4.4,61,0,,130,13,,1023.1,,1
2024-11-01 19:00:00,10,3.9,66,0,,130,11.2,,1023.6,,1
2024-11-01 20:00:00,8.3,3.9,74,0,,110,11.2,,1023.6,,1
2024-11-01 21:00:00,6.7,2.8,76,0,,120,9.4,,1023.8,,1
2024-11-01 22:00:00,6.1,2.2,76,0,,130,9.4,,1024.4,,1
2024-11-01 23:00:00,5,1.7,79,0,,110,7.6,,1024.6,,1
2024-11-02 00:00:00,4.4,1.8,83,0,,120,9.4,,1024.7,,1
2024-11-02 01:00:00,3.9,1.1,82,0,,130,7.6,,1024.8,,1
2024-11-02 02:00:00,3.3,1.2,86,0,,120,7.6,,1024.7,,2
2024-11-02 03:00:00,3.9,1.8,86,0,,0,0,,1024.5,,3
2024-11-02 04:00:00,3.9,1.1,82,0,,0,0,,1024.1,,3
2024-11-02 05:00:00,3.9,1.1,82,0,,120,7.6,,1023.9,,3
2024-11-02 06:00:00,3.3,0.5,82,0,,120,9.4,,1023.9,,3
2024-11-02 07:00:00,3.3,0.5,82,0,,120,5.4,,1024.1,,3
2024-11-02 08:00:00,3.3,0.5,82,0,,130,9.4,,1024.1,,3
2024-11-02 09:00:00,3.9,1.1,82,0,,120,5.4,,1024.6,,3
2024-11-02 10:00:00,5.6,2.2,79,0,,130,11.2,,1024.7,,3
2024-11-02 11:00:00,7.8,3.3,73,0,,120,9.4,,1024.7,,3
2024-11-02 12:00:00,8.9,4.3,73,0,,100,9.4,,1024.3,,3
2024-11-02 13:00:00,10,5,71,0,,120,11.2,,1023.5,,3
2024-11-02 14:00:00,11.1,5,66,0,,120,11.2,,1022.9,,3
2024-11-02 15:00:00,12.8,5.7,62,0,,110,13,,1021.7,,3
2024-11-02 16:00:00,13.9,6,59,0,,110,11.2,,1020.7,,3
2024-11-02 17:00:00,13.3,5.7,60,,,140,25.9,,1020.3,,7
2024-11-02 18:00:00,11.1,6.6,74,0.3,,120,14.8,,1020.5,,9
2024-11-02 19:00:00,10,7.8,86,1.8,,130,13,,1020.8,,9
2024-11-02 20:00:00,10,7.8,86,1.8,,130,13,,1020.5,,8
2024-11-02 21:00:00,10,7.8,86,1.5,,130,20.5,,1020.2,,9
2024-11-02 22:00:00,9.4,7.2,86,1.5,,120,20.5,,1019.2,,9
2024-11-02 23:00:00,9.4,7.8,90,1.8,,110,20.5,,1018.5,,9
2024-11-03 00:00:00,9.4,8.3,93,6.1,,110,24.1,,1018.4,,9
2024-11-03 01:00:00,9.4,7.8,90,6.4,,100,20.5,,1016.7,,9
2024-11-03 01:00:00,9.4,8.3,93,0.5,,120,18.4,,1015,,9
2024-11-03 02:00:00,9.4,8.3,93,7.1,,110,20.5,,1014.8,,9
2024-11-03 03:00:00,8.9,7.8,93,0.8,,120,16.6,,1013.7,,9
2024-11-03 04:00:00,8.9,7.8,93,2,,100,16.6,,1012.3,,8
2024-11-03 05:00:00,9.4,8.3,93,,,110,16.6,,1011.7,,8
2024-11-03 06:00:00,10,8.9,93,0.5,,120,18.4,,1010.9,,3
2024-11-03 07:00:00,10,9.4,96,0.8,,120,18.4,,1010.5,,8
2024-11-03 08:00:00,10.6,9.4,92,,,110,18.4,,1010.1,,9
2024-11-03 09:00:00,10.6,9.4,92,,,130,18.4,,1009.6,,9
2024-11-03 10:00:00,11.1,10.6,97,0.8,,110,16.6,,1008,,9
2024-11-03 11:00:00,12.2,10.6,90,1.8,,130,17,,1007.8,,9
2024-11-03 12:00:00,12.2,11.7,97,0.2,,130,13,,1007,,9
2024-11-03 13:00:00,12.8,11.7,93,0.3,,120,18.4,,1005.5,,9
2024-11-03 14:00:00,12.8,11,89,0,,120,16.6,,1005.6,,8
2024-11-03 15:00:00,12.8,11.7,93,0,,130,9.4,,1005.5,,3
2024-11-03 16:00:00,13.3,12.2,93,0,,130,11.2,,1005.7,,3
2024-11-03 17:00:00,13.3,12.2,93,0,,140,14.8,,1005.9,,5
2024-11-03 18:00:00,13.3,12.8,97,0,,150,7.6,,1006.4,,5
2024-11-03 19:00:00,13.3,12.2,93,0,,140,11.2,,1006.8,,5
2024-11-03 20:00:00,13.9,12.8,93,0,,140,11.2,,1007.3,,5
2024-11-03 21:00:00,14.4,13.9,97,0,,140,13,,1006.3,,5
2024-11-03 22:00:00,14.4,13.9,97,0,,160,13,,1006.5,,5
2024-11-03 23:00:00,14.4,14.4,100,0,,140,9.4,,1006.3,,3
2024-11-04 00:00:00,14.4,13.9,97,0,,130,9.4,,1005.9,,3
2024-11-04 01:00:00,15,13.9,93,0,,150,16.6,,1005.9,,8
2024-11-04 02:00:00,15,14.4,96,0,,150,13,,1005.9,,3
2024-11-04 03:00:00,15,13.9,93,0,,150,14.8,,1005.7,,3
2024-11-04 04:00:00,15,13.9,93,0,,140,7.6,,1005.4,,3
2024-11-04 05:00:00,14.4,13.3,93,0,,150,13,,1005.4,,7
2024-11-04 06:00:00,15.6,14,90,0,,160,13,,1006.1,,7
2024-11-04 07:00:00,15,13.9,93,0,,140,13,,1006.1,,3
2024-11-04 08:00:00,15.6,14.5,93,,,160,11.2,,1006.5,,3
2024-11-04 09:00:00,16.1,15,93,0,,170,9.4,,1006.4,,3
2024-11-04 10:00:00,16.1,15,93,1,,200,13,,1007.3,,3
2024-11-04 11:00:00,16.1,15,93,0.8,,240,5.4,,1007.6,,3
2024-11-04 12:00:00,18.3,15.5,84,0,,260,11.2,,1007.1,,8
2024-11-04 13:00:00,17.8,13.9,78,0,,310,16.6,,1007,,3
2024-11-04 14:00:00,17.2,12.7,75,0,,310,16.6,,1007.6,,3
2024-11-04 15:00:00,16.7,12.8,78,0,,320,13,,1007.8,,3
2024-11-04 16:00:00,15.6,12.2,80,0,,333,10.4,,1007.1,,7
2024-11-04 17:00:00,14.4,12.3,87,,,340,13,,1008,,8
2024-11-04 18:00:00,13.9,12.3,90,0.3,,10,13,,1008.6,,9
2024-11-04 19:00:00,12.8,11,89,0.3,,350,20.5,,1008.5,,8
2024-11-04 20:00:00,11.7,9.9,89,0,,40,20.5,,1005.3,,8
2024-11-04 21:00:00,11.7,9.9,89,0,,360,18.4,,1007.3,,8
2024-11-04 22:00:00,11.1,9.4,89,,,360,20.5,,1006.8,,8
2024-11-04 23:00:00,10.6,8.9,89,0.5,,360,24.1,,1006.8,,8
2024-11-05 00:00:00,10.6,8.9,89,1.8,,10,16.6,,1005.9,,3
2024-11-05 01:00:00,10,8.9,93,,,350,18.4,,1006,,8
2024-11-05 02:00:00,10,8.9,93,1.3,,10,18.4,,1005.1,,7
2024-11-05 03:00:00,10,8.9,93,0.5,,20,20.5,,1003.8,,3
2024-11-05 04:00:00,10.6,8.9,89,0.5,,40,13,,1002.7,,3
2024-11-05 05:00:00,10.6,8.9,89,0.5,,30,11.2,,1002.9,,8
2024-11-05 06:00:00,10,9.4,96,1,,20,9.4,,1002.7,,9
2024-11-05 07:00:00,10.6,9.4,92,2.5,,0,0,,1002.3,,5
2024-11-05 08:00:00,10.6,9.4,92,0,,360,5.4,,1002.8,,5
2024-11-05 09:00:00,10.6,9.4,92,,,360,7.6,,1002.9,,9
2024-11-05 10:00:00,11.1,9.4,89,0.8,,310,18.4,,1003,,5
2024-11-05 11:00:00,10.6,9.4,92,0,,320,11.2,,1003.4,,5
2024-11-05 12:00:00,11.7,9.4,86,0,,320,9.4,,1002.6,,3
2024-11-05 13:00:00,11.7,8.9,83,0,,290,20,,1003,,3
2024-11-05 14:00:00,12.2,9.4,83,0,,290,20.5,,1002.8,,3
2024-11-05 15:00:00,11.7,8.9,83,0,,290,20.5,,1003.6,,3
2024-11-05 16:00:00,10,8.3,89,0,,320,22.3,,1005,,5
2024-11-05 17:00:00,9.4,7.2,86,0.3,,330,14.8,,1005.8,,3
2024-11-05 18:00:00,8.9,6.7,86,0,,330,20.5,,1007.1,,3
2024-11-05 19:00:00,8.9,6.2,83,0,,320,18.4,,1008.7,,3
2024-11-05 20:00:00,8.3,6.1,86,0,,310,16.6,,1009.7,,3
2024-11-05 21:00:00,8.3,5.6,83,0,,320,14.8,,1010.7,,3
2024-11-05 22:00:00,7.2,5,86,0,,320,11.2,,1011.7,,3
2024-11-05 23:00:00,7.2,5,86,0,,310,9.4,,1012.5,,1
2024-11-06 00:00:00,5.6,3.9,89,0,,320,7.6,,1012.9,,1
2024-11-06 01:00:00,4.4,2.7,89,0,,300,7.6,,1013.8,,1
2024-11-06 02:00:00,3.3,1.7,89,0,,280,7.6,,1014.5,,3
2024-11-06 03:00:00,2.8,2.2,96,0,,290,7.6,,1015.3,,1
2024-11-06 04:00:00,2.8,2.2,96,0,,320,5.4,,1016.2,,1
2024-11-06 05:00:00,3.3,2.1,92,0,,360,7.6,,1016.7,,1
2024-11-06 06:00:00,2.8,2.2,96,0,,360,9.4,,1017.3,,5
2024-11-06 07:00:00,3.3,3.3,100,0,,360,9.4,,1018,,5
2024-11-06 08:00:00,3.9,3.3,96,0,,20,7.6,,1019.4,,5
2024-11-06 09:00:00,4.4,4,97,0,,10,7.6,,1020.6,,5
2024-11-06 10:00:00,5,4.4,96,0,,90,7.6,,1021.5,,5
2024-11-06 11:00:00,6.1,4.4,89,0,,20,5.4,,1022.2,,5
2024-11-06 12:00:00,7.8,4.9,82,0,,330,5.4,,1022.2,,3
2024-11-06 13:00:00,10,5,71,0,,50,7.6,,1022.1,,3
2024-11-06 14:00:00,11.1,5.6,69,0,,10,11.2,,1022,,3
2024-11-06 15:00:00,11.7,5.6,66,0,,30,9.4,,1022.1,,2
2024-11-06 16:00:00,10.6,4.9,68,0,,40,11.2,,1022.2,,2
2024-11-06 17:00:00,9.4,5,74,0,,70,5.4,,1022.7,,1
2024-11-06 18:00:00,8.3,5.1,80,0,,0,0,,1023.9,,3
2024-11-06 19:00:00,7.2,5,86,0,,0,0,,1024.7,,3
2024-11-06 20:00:00,6.1,4.4,89,0,,90,5.4,,1025.3,,3
2024-11-06 21:00:00,5.6,3.9,89,0,,0,0,,1025.7,,3
2024-11-06 22:00:00,5.6,3.9,89,0,,0,0,,1026.4,,3
2024-11-06 23:00:00,5,4,93,0,,0,0,,1026.4,,3
2024-11-07 00:00:00,4.4,3.4,93,0,,0,0,,1026.5,,3
2024-11-07 01:00:00,4.4,3.4,93,0,,0,0,,1026.8,,5
2024-11-07 02:00:00,3.3,2.7,96,0,,210,5.4,,1027,,5
2024-11-07 03:00:00,3.3,2.1,92,0,,0,0,,1027.4,,5
2024-11-07 04:00:00,2.8,1.6,92,0,,0,0,,1027.8,,5
2024-11-07 05:00:00,2.8,1.6,92,0,,0,0,,1027.9,,5
2024-11-07 06:00:00,2.2,1.6,96,0,,0,0,,1028.3,,5
2024-11-07 07:00:00,2.8,1.6,92,0,,0,0,,1029,,5
2024-11-07 08:00:00,2.8,2.2,96,0,,0,0,,1029.2,,5
2024-11-07 09:00:00,5.6,3.9,89,0,,320,7.6,,1030.1,,2
2024-11-07 10:00:00,10,6.2,77,0,,290,9,,1029.7,,2
2024-11-07 11:00:00,11.1,6,71,0,,260,9.4,,1029.6,,1
2024-11-07 12:00:00,11.1,6,71,0,,280,9.4,,1029.1,,1
2024-11-07 13:00:00,12.8,6.6,66,0,,220,13,,1028,,1
2024-11-07 14:00:00,12.8,6.6,66,0,,220,13,,1027.7,,1
2024-11-07 15:00:00,13.3,6.6,64,0,,250,16.6,,1027.2,,2
2024-11-07 16:00:00,12.8,6.6,66,0,,270,11.2,,1027.3,,1
2024-11-07 17:00:00,11.1,6,71,0,,280,7.6,,1027.2,,1
2024-11-07 18:00:00,7.2,5,86,0,,260,7.6,,1027.4,,1
2024-11-07 19:00:00,6.1,4.4,89,0,,280,7.6,,1027.4,,1
2024-11-07 20:00:00,4.4,2.7,89,0,,260,7.6,,1026.8,,1
2024-11-07 21:00:00,3.9,2.7,92,0,,260,5.4,,1026.4,,2
2024-11-07 22:00:00,3.9,2.7,92,0,,190,5.4,,1026.7,,1
2024-11-07 23:00:00,3.9,2.3,89,0,,0,0,,1026.1,,1
2024-11-08 00:00:00,3.3,2.7,96,0,,270,7.6,,1026.1,,1
2024-11-08 01:00:00,3.3,1.7,89,0,,250,9.4,,1026.4,,5
2024-11-08 02:00:00,2.8,2.2,96,0,,230,7.6,,1025.9,,1
2024-11-08 03:00:00,3.9,2.3,89,0,,260,5.4,,1026,,1
2024-11-08 04:00:00,3.3,1.7,89,0,,260,5.4,,1026.3,,1
2024-11-08 05:00:00,3.3,1.7,89,0,,220,7.6,,1026.6,,1
2024-11-08 06:00:00,3.9,2.3,89,0,,240,9.4,,1026.7,,3
2024-11-08 07:00:00,3.9,2.3,89,0,,320,5.4,,1026.4,,3
2024-11-08 08:00:00,4.4,2.7,89,0,,0,0,,1026.8,,3
2024-11-08 09:00:00,6.7,5,89,0,,220,5.4,,1027.6,,3
2024-11-08 10:00:00,8.3,5.6,83,0,,240,9.4,,1027.3,,3
2024-11-08 11:00:00,10.6,6.2,74,0,,20,7,,1027.1,,3
2024-11-08 12:00:00,13.9,6,59,0,,20,7.6,,1026,,3
2024-11-08 13:00:00,16.1,5.7,50,0,,340,7.6,,1025.1,,3
2024-11-08 14:00:00,16.7,6.2,50,0,,0,0,,1024.4,,3
2024-11-08 15:00:00,17.8,6,46,0,,0,0,,1023.8,,3
2024-11-08 16:00:00,15.6,6.6,55,0,,0,0,,1024.2,,2
2024-11-08 17:00:00,13.9,6,59,0,,0,0,,1023.7,,3
2024-11-08 18:00:00,11.1,6,71,0,,0,0,,1023.9,,3
2024-11-08 19:00:00,8.9,5.6,80,0,,40,5.4,,1023.7,,3
2024-11-08 20:00:00,8.9,4.9,76,0,,160,5.4,,1023.8,,3
2024-11-08 21:00:00,8.9,4.9,76,0,,90,9.4,,1023.6,,3
2024-11-08 22:00:00,8.9,4.9,76,0,,110,7.6,,1023.5,,3
2024-11-08 23:00:00,9.4,5,74,0,,80,11.2,,1023,,3
2024-11-09 00:00:00,8.3,5.1,80,0,,120,9.4,,1022.6,,3
2024-11-09 01:00:00,8.9,5.6,80,0,,100,9.4,,1021.8,,3
2024-11-09 02:00:00,7.8,4.9,82,0,,120,5.4,,1021.7,,3
2024-11-09 03:00:00,8.3,5.1,80,0,,90,9.4,,1021.2,,3
2024-11-09 04:00:00,7.8,4.9,82,0,,120,7.6,,1020.8,,3
2024-11-09 05:00:00,8.9,5.6,80,0,,100,9.4,,1020.4,,3
2024-11-09 06:00:00,8.9,5.6,80,0,,90,11.2,,1019.9,,3
2024-11-09 07:00:00,8.3,6.1,86,0.5,,100,9.4,,1020.3,,3
2024-11-09 08:00:00,8.9,6.2,83,0.3,,90,16.6,,1019.5,,8
2024-11-09 09:00:00,8.9,6.2,83,0.8,,110,18.4,,1018.8,,9
2024-11-09 10:00:00,9.4,6.1,80,,,110,16.6,,1017.7,,8
2024-11-09 11:00:00,10,6.2,77,1,,120,22.3,,1017.1,,5
2024-11-09 12:00:00,8.9,6.7,86,0.8,,120,20.5,,1016.5,,3
2024-11-09 13:00:00,8.9,7.2,89,0.8,,130,29.5,,1014.9,,5
2024-11-09 14:00:00,8.9,7.8,93,0.3,,130,22.3,,1014,,5
2024-11-09 15:00:00,9.4,8.3,93,,,130,24.1,,1013,,3
2024-11-09 16:00:00,9.4,7.8,90,0,,140,20.5,,1012.6,,5
2024-11-09 17:00:00,9.4,8.3,93,0,,130,24.1,,1012.2,,5
2024-11-09 18:00:00,9.4,8.3,93,0,,130,22.3,,1011.9,,3
2024-11-09 19:00:00,10,8.3,89,0,,150,20.5,,1012.2,,3
2024-11-09 20:00:00,10,8.9,93,0,,160,18.4,,1012.2,,3
2024-11-09 21:00:00,10,8.9,93,0,,140,16.6,,1011.2,,3
2024-11-09 22:00:00,10,8.9,93,0,,150,16.6,,1010.5,,3
2024-11-09 23:00:00,10.6,9.4,92,0,,150,16.6,,1009.8,,9
2024-11-10 00:00:00,10.6,9.4,92,0,,160,20.5,,1009,,3
2024-11-10 01:00:00,10.6,9.4,92,0,,150,22.3,,1008.2,,3
2024-11-10 02:00:00,10.6,9.4,92,0,,140,22.3,,1007.1,,3
2024-11-10 03:00:00,10.6,9.4,92,0,,140,18.4,,1006.8,,8
2024-11-10 04:00:00,10.6,9.4,92,0,,150,16.6,,1005.8,,3
2024-11-10 05:00:00,10,8.9,93,0,,160,11.2,,1005.8,,8
2024-11-10 06:00:00,10,7.2,83,0,,200,11.2,,1005.7,,8
2024-11-10 07:00:00,9.4,7.8,90,1.3,,230,14.8,,1006.1,,3
2024-11-10 08:00:00,9.4,7.2,86,,,250,20.5,,1007,,3
2024-11-10 09:00:00,9.4,6.7,83,0.3,,260,27.7,,1007.6,,3
2024-11-10 10:00:00,10.6,8.4,86,0,,270,29.5,,1008.7,,3
2024-11-10 11:00:00,12.2,8.3,77,0,,290,22.3,,1009.2,,7
2024-11-10 12:00:00,13.3,8.4,72,0,,290,29.5,,1009.6,,3
2024-11-10 13:00:00,14.4,7.7,64,0,,300,27.7,,1010,,2
2024-11-10 14:00:00,13.3,7.1,66,0,,300,29.5,,1010.1,,2
2024-11-10 15:00:00,11.7,6.6,71,0,,300,20.5,,1011.3,,2
2024-11-10 16:00:00,11.7,7.2,74,0,,280,24.1,,1012.1,,3
2024-11-10 17:00:00,11.1,6.6,74,0,,260,18.4,,1012.6,,1
2024-11-10 18:00:00,8.9,6.2,83,0,,250,14.8,,1013.3,,1
2024-11-10 19:00:00,8.3,5.6,83,0,,260,14.8,,1013.9,,1
2024-11-10 20:00:00,8.9,6.2,83,0,,250,13,,1014.2,,1
2024-11-10 21:00:00,8.3,6.1,86,0,,260,14.8,,1014.3,,1
2024-11-10 22:00:00,6.7,5,89,0,,250,13,,1014.4,,1
2024-11-10 23:00:00,6.7,4.4,85,0,,240,13,,1014.4,,1
