hour,temp,dwpt,rhum,prcp,wdir,wspd,wpgt,pres,coco,future_temp
0,20.0,20.0,100,0.0,140,5.4,,1014.2,5.0,19.4
1,19.4,19.4,100,0.0,0,0.0,,1013.7,3.0,20.0
2,20.0,20.0,100,0.0,170,5.4,,1013.8,3.0,20.0
3,20.0,20.0,100,,0,0.0,,1013.2,5.0,20.0
4,20.0,20.0,100,,190,5.4,,1013.3,5.0,20.0
5,20.0,20.0,100,0.0,0,0.0,,1013.3,5.0,20.0
6,20.0,20.0,100,0.0,0,0.0,,1013.5,5.0,20.0
7,20.0,19.3,96,0.0,0,0.0,,1013.5,3.0,20.6
8,20.6,19.9,96,0.0,190,7.6,,1013.6,3.0,22.2
9,22.2,20.7,91,0.0,0,0.0,,1013.8,3.0,23.3
10,23.3,20.6,85,0.0,280,5.4,,1014.1,3.0,24.4
11,24.4,20.5,79,0.0,0,0.0,,1013.9,3.0,25.6
12,25.6,20.6,74,0.0,220,9.4,,1013.8,3.0,25.6
13,25.6,21.0,76,0.0,240,9.4,,1013.9,3.0,26.7
14,26.7,20.5,69,0.0,250,9.4,,1013.7,3.0,27.8
15,27.8,20.1,63,0.0,270,14.8,,1013.4,3.0,27.8
16,27.8,20.1,63,0.0,240,11.2,,1013.0,5.0,27.8
17,27.8,19.3,60,0.0,300,14.8,,1012.8,3.0,27.8
18,27.8,21.1,67,0.0,310,11.2,,1012.7,3.0,26.1
19,26.1,19.0,65,0.0,330,11.2,,1012.7,17.0,25.0
20,25.0,19.4,71,0.0,320,9.4,,1013.1,2.0,23.9
21,23.9,19.4,76,0.0,340,13.0,,1013.8,2.0,22.2
22,22.2,19.4,84,0.0,10,9.4,,1014.5,1.0,21.1
23,21.1,18.8,87,0.0,350,11.2,,1014.8,1.0,20.6
0,20.6,18.4,87,0.0,350,9.4,,1014.7,1.0,18.9
1,18.9,17.7,93,0.0,0,0.0,,1015.4,1.0,18.3
2,18.3,16.6,90,0.0,360,9.4,,1015.5,1.0,17.2
3,17.2,16.7,97,0.0,340,7.6,,1015.3,1.0,16.7
4,16.7,16.1,96,0.0,350,5.4,,1015.2,1.0,15.6
5,15.6,15.0,96,0.0,0,0.0,,1015.3,1.0,15.6
6,15.6,15.6,100,0.0,0,0.0,,1015.8,1.0,16.1
7,16.1,15.6,97,0.0,0,0.0,,1016.6,1.0,18.9
8,18.9,17.2,90,0.0,340,5.4,,1017.0,1.0,20.6
9,20.6,17.2,81,0.0,20,5.4,,1017.0,1.0,22.8
10,22.8,16.1,66,0.0,0,0.0,,1017.0,1.0,24.4
11,24.4,15.6,58,0.0,80,5.4,,1017.3,1.0,25.0
12,25.0,15.0,54,0.0,90,5.4,,1016.8,1.0,25.6
13,25.6,15.6,54,0.0,50,9.4,,1016.4,1.0,26.1
14,26.1,15.5,52,0.0,60,7.6,,1016.1,1.0,26.7
15,26.7,16.0,52,0.0,100,7.6,,1015.5,1.0,26.7
16,26.7,16.0,52,0.0,120,7.6,,1015.5,1.0,26.7
17,26.7,16.0,52,0.0,100,7.6,,1015.1,1.0,26.1
18,26.1,16.1,54,0.0,180,11.2,,1015.0,1.0,25.6
19,25.6,16.2,56,0.0,130,7.6,,1014.9,1.0,23.3
20,23.3,18.4,74,0.0,140,7.6,,1014.4,1.0,20.6
21,20.6,17.2,81,0.0,0,0.0,,1014.9,1.0,19.4
22,19.4,17.7,90,0.0,0,0.0,,1015.2,1.0,19.4
23,19.4,17.2,87,0.0,140,5.4,,1015.0,1.0,18.3
0,18.3,17.1,93,0.0,0,0.0,,1014.8,1.0,16.7
1,16.7,16.1,96,0.0,0,0.0,,1015.3,1.0,17.2
2,17.2,16.7,97,0.0,0,0.0,,1015.1,1.0,16.7
3,16.7,16.1,96,0.0,130,7.6,,1014.5,1.0,16.7
4,16.7,16.1,96,0.0,170,7.6,,1014.9,3.0,17.8
5,17.8,16.7,93,0.0,80,5.4,,1015.8,2.0,16.1
6,16.1,16.1,100,0.0,120,5.4,,1016.2,2.0,16.7
7,16.7,16.1,96,0.0,140,9.4,,1015.5,1.0,19.4
8,19.4,17.2,87,0.0,170,7.6,,1015.4,1.0,21.1
9,21.1,17.9,82,0.0,130,22.3,,1014.3,2.0,22.2
10,22.2,18.4,79,0.0,150,11.2,,1014.8,1.0,23.3
11,23.3,18.4,74,0.0,160,16.6,,1015.4,3.0,24.4
12,24.4,18.3,69,0.0,170,20.5,,1015.8,2.0,26.1
13,26.1,18.2,62,0.0,170,24.1,,1015.2,2.0,27.8
14,27.8,20.1,63,0.0,150,24.1,,1015.0,2.0,28.3
15,28.3,20.0,61,0.0,150,18.4,,1014.6,3.0,28.3
16,28.3,20.6,63,0.0,140,20.5,,1014.2,1.0,27.8
17,27.8,21.1,67,0.0,130,14.8,,1014.1,1.0,26.7
18,26.7,20.5,69,0.0,130,20.5,,1013.8,3.0,26.1
19,26.1,20.6,72,0.0,130,16.6,,1013.8,2.0,24.4
20,24.4,19.9,76,0.0,130,14.8,,1013.9,1.0,22.2
21,22.2,19.0,82,0.0,140,14.8,,1014.1,2.0,22.2
22,22.2,19.0,82,0.0,160,14.8,,1014.4,2.0,21.1
23,21.1,18.8,87,0.0,160,13.0,,1014.2,3.0,21.1
0,21.1,18.8,87,0.0,160,13.0,,1014.8,3.0,21.7
1,21.7,18.9,84,0.0,160,13.0,,1014.6,3.0,21.7
2,21.7,18.3,81,0.0,150,13.0,,1014.6,3.0,21.1
3,21.1,18.3,84,0.0,130,5.4,,1014.9,3.0,20.6
4,20.6,18.4,87,0.0,120,7.6,,1014.9,3.0,20.0
5,20.0,18.3,90,0.0,140,7.6,,1015.2,3.0,19.4
6,19.4,18.2,93,0.0,130,5.4,,1015.2,1.0,19.4
7,19.4,18.2,93,0.0,140,9.4,,1015.3,3.0,21.1
8,21.1,18.8,87,0.0,140,11.2,,1015.0,3.0,24.4
9,24.4,19.9,76,0.0,140,13.0,,1014.7,3.0,25.6
10,25.6,20.6,74,0.0,150,13.0,,1015.0,3.0,27.2
11,27.2,21.7,72,0.0,150,14.8,,1015.5,3.0,28.9
12,28.9,22.1,67,0.0,160,13.0,,1015.4,3.0,27.2
13,27.2,23.2,79,0.3,170,11.2,,1014.9,3.0,30.0
14,30.0,25.1,75,,140,20.5,,1014.2,3.0,31.1
15,31.1,24.0,66,0.0,150,20.5,,1014.3,3.0,29.4
16,29.4,24.3,74,0.0,140,11.2,,1014.8,3.0,27.2
17,27.2,23.2,79,0.0,40,25.9,,1015.4,3.0,25.6
18,25.6,21.7,79,0.0,90,13.0,,1015.3,3.0,25.0
19,25.0,21.1,79,0.0,150,27.7,,1014.4,3.0,23.3
20,23.3,21.2,88,3.3,160,14.8,28.0,1015.0,2.0,25.6
21,25.6,21.7,79,0.0,160,25.9,17.0,1014.8,2.0,24.4
22,24.4,21.1,82,0.0,160,24.1,,1015.4,3.0,23.9
23,23.9,20.6,82,0.0,160,18.4,,1015.5,3.0,23.9
0,23.9,21.0,84,0.0,160,13.0,,1015.4,2.0,23.9
1,23.9,21.8,88,0.0,180,11.2,,1015.2,3.0,23.9
2,23.9,21.8,88,0.0,140,13.0,,1015.8,3.0,23.3
3,23.3,21.7,91,0.0,90,13.0,,1016.3,3.0,22.8
4,22.8,21.8,94,0.0,120,13.0,,1016.3,3.0,22.2
5,22.2,21.7,97,0.0,140,16.6,,1015.8,3.0,22.8
6,22.8,21.8,94,0.0,160,24.1,,1015.0,3.0,23.3
7,23.3,21.7,91,0.0,170,18.4,,1015.3,3.0,23.9
8,23.9,22.2,90,0.0,170,16.6,,1015.6,3.0,25.0
9,25.0,22.9,88,0.0,180,13.0,,1015.0,3.0,26.7
10,26.7,23.4,82,0.0,200,13.0,16.0,1014.7,3.0,28.9
11,28.9,24.5,77,0.0,230,18.4,,1014.7,3.0,30.6
12,30.6,25.0,72,0.0,230,18.4,,1014.6,2.0,31.7
13,31.7,25.0,68,0.0,200,20.5,,1014.1,3.0,32.2
14,32.2,25.0,66,0.0,210,24.1,18.0,1013.8,3.0,32.8
15,32.8,25.1,64,0.0,200,22.3,17.0,1013.8,3.0,32.8
16,32.8,24.3,61,0.0,200,20.5,,1013.7,3.0,32.8
17,32.8,25.1,64,0.0,210,18.4,,1013.2,1.0,32.2
18,32.2,25.0,66,0.0,200,11.2,,1012.8,3.0,31.1
19,31.1,24.5,68,0.0,200,9.4,,1013.0,3.0,28.9
20,28.9,24.5,77,0.0,190,11.2,,1012.9,3.0,26.1
21,26.1,24.0,88,0.0,180,9.4,,1013.3,1.0,27.2
22,27.2,23.9,82,0.0,190,11.2,,1013.5,1.0,23.9
23,23.9,23.2,96,0.0,180,5.4,,1014.1,1.0,23.9
0,23.9,23.2,96,0.0,0,0.0,,1014.0,1.0,23.3
1,23.3,23.3,100,0.0,120,5.4,,1013.8,1.0,22.8
2,22.8,22.8,100,0.0,0,0.0,,1013.3,1.0,22.8
3,22.8,22.1,96,0.0,140,7.6,,1013.6,1.0,22.8
4,22.8,22.8,100,0.0,0,0.0,,1014.2,5.0,22.2
5,22.2,22.2,100,0.0,130,7.6,,1014.0,5.0,21.7
6,21.7,21.7,100,0.0,140,5.4,,1014.2,5.0,22.2
7,22.2,22.2,100,0.0,150,5.4,,1014.8,3.0,24.4
8,24.4,23.4,94,0.0,140,14.8,,1015.3,3.0,26.7
9,26.7,24.0,85,0.0,130,13.0,,1015.3,3.0,27.8
10,27.8,24.4,82,0.0,120,9.4,,1015.3,3.0,30.6
11,30.6,24.0,68,0.0,190,13.0,,1014.9,3.0,31.1
12,31.1,24.0,66,0.0,182,11.2,,1014.7,3.0,31.7
13,31.7,23.8,63,0.0,190,5.4,,1014.4,3.0,33.3
14,33.3,23.9,58,0.0,190,11.2,,1013.6,3.0,33.9
15,33.9,24.5,58,0.0,200,14.8,,1013.0,3.0,33.9
16,33.9,23.3,54,0.0,190,14.8,,1012.7,2.0,33.3
17,33.3,23.3,56,0.0,190,16.6,,1012.3,3.0,32.8
18,32.8,24.0,60,0.0,190,13.0,,1012.4,3.0,31.1
19,31.1,24.5,68,0.0,190,11.2,,1012.1,3.0,28.9
20,28.9,23.8,74,0.0,180,11.2,,1012.0,3.0,26.7
21,26.7,23.4,82,0.0,160,7.6,,1012.7,2.0,25.6
22,25.6,23.3,87,0.0,160,9.4,,1013.1,2.0,25.6
23,25.6,23.3,87,0.0,150,9.4,,1013.5,2.0,24.4
0,24.4,23.4,94,0.0,140,11.2,,1013.8,2.0,24.4
1,24.4,23.4,94,0.0,140,7.6,,1013.3,2.0,24.4
2,24.4,23.4,94,0.0,140,9.4,,1012.8,2.0,25.0
3,25.0,23.2,90,0.0,190,14.8,,1012.3,3.0,24.4
4,24.4,23.4,94,0.0,150,11.2,,1011.9,17.0,25.6
5,25.6,22.7,84,0.0,180,16.6,,1012.1,1.0,24.4
6,24.4,22.8,91,0.0,160,9.4,35.0,1012.2,18.0,24.4
7,24.4,21.1,82,0.8,310,44.6,36.0,1014.1,25.0,21.7
8,21.7,20.0,90,5.1,0,0.0,,1015.0,7.0,21.1
9,21.1,20.6,97,0.3,70,11.2,,1014.5,3.0,22.2
10,22.2,21.2,94,,110,13.0,,1014.4,3.0,23.3
11,23.3,21.7,91,0.0,120,5.4,,1014.3,3.0,26.1
12,26.1,22.2,79,0.0,150,5.4,,1014.3,3.0,27.2
13,27.2,22.8,77,0.0,150,11.2,,1014.3,3.0,27.2
14,27.2,23.2,79,0.0,180,14.8,,1014.1,7.0,28.9
15,28.9,23.8,74,0.0,190,11.2,,1013.5,3.0,29.4
16,29.4,23.8,72,0.0,260,16.6,,1013.4,3.0,28.9
17,28.9,23.8,74,0.0,260,16.6,,1013.0,3.0,29.4
18,29.4,22.9,68,0.0,300,18.4,,1012.7,17.0,28.3
19,28.3,23.2,74,0.0,320,13.0,,1012.9,3.0,27.8
20,27.8,22.7,74,0.0,360,11.2,,1013.7,2.0,25.6
21,25.6,22.3,82,0.0,30,7.6,,1014.4,2.0,25.0
22,25.0,21.7,82,0.0,10,7.6,,1014.8,2.0,23.3
23,23.3,21.7,91,0.0,300,5.4,,1015.6,1.0,21.7
0,21.7,21.0,96,0.0,0,0.0,,1016.2,2.0,21.1
1,21.1,21.1,100,0.0,300,5.4,,1016.1,3.0,21.1
2,21.1,20.6,97,0.0,0,0.0,,1016.1,1.0,21.7
3,21.7,21.0,96,0.0,0,0.0,,1015.9,1.0,20.0
4,20.0,20.0,100,0.0,310,5.4,,1015.8,1.0,21.1
5,21.1,21.1,100,0.0,0,0.0,,1016.0,1.0,20.6
6,20.6,20.6,100,0.0,320,5.4,,1016.3,5.0,20.6
7,20.6,20.6,100,0.0,0,0.0,,1017.0,5.0,22.2
8,22.2,21.7,97,0.0,340,5.4,,1017.6,1.0,23.9
9,23.9,21.8,88,0.0,0,0.0,,1017.9,1.0,26.1
10,26.1,22.8,82,0.0,360,7.6,,1018.1,2.0,27.2
11,27.2,22.8,77,0.0,360,14.8,,1018.3,2.0,28.3
12,28.3,22.8,72,0.0,350,11.2,,1018.5,3.0,28.3
13,28.3,22.3,70,0.0,40,5.4,,1018.5,3.0,29.4
14,29.4,22.1,65,0.0,18,6.0,,1017.9,1.0,29.4
15,29.4,21.1,61,0.0,50,5.4,,1017.3,2.0,30.0
16,30.0,21.6,61,0.0,50,11.2,,1017.1,2.0,29.4
17,29.4,21.6,63,0.0,50,13.0,,1017.0,2.0,28.3
18,28.3,21.8,68,0.0,360,9.4,,1016.5,2.0,28.9
19,28.9,22.1,67,0.0,350,11.2,,1016.3,2.0,27.2
20,27.2,21.7,72,0.0,30,7.6,,1016.9,2.0,25.0
21,25.0,22.1,84,0.0,310,5.4,,1017.6,2.0,22.8
22,22.8,21.8,94,0.0,0,0.0,,1018.4,1.0,22.2
